330,728,637,860,698
89,1317,646,1462,705
251,1458,627,1621,691
30,897,667,1023,722
123,1608,647,1758,705
51,993,646,1121,705
74,1188,646,1326,705
290,1102,620,1248,686
474,609,703,726,750
83,1266,646,1409,705
454,389,708,510,754
244,1518,629,1685,692
24,895,749,1025,807
400,185,893,323,938
418,157,712,280,757
488,768,698,884,746
410,153,771,281,816
461,462,706,582,753
491,803,697,916,745
395,227,855,362,900
389,287,789,406,835
271,1274,622,1431,686
15,893,878,1027,934
4,936,977,973,997
133,1694,647,1849,705
125,1620,647,1783,706
221,1723,646,1897,707
59,1062,646,1194,705
215,1772,637,1919,698
39,904,635,1021,715
81,1248,646,1391,705
252,1449,627,1613,690
52,1000,646,1129,705
16,893,870,1027,926
412,154,745,269,801
234,1606,632,1776,694
114,1530,646,1688,705
334,691,619,824,714
145,1786,646,1920,705
449,336,710,458,755
420,163,713,287,758
448,325,710,447,756
396,218,865,354,910
402,174,888,310,932
438,235,707,346,766
236,1589,631,1758,694
88,1308,646,1454,705
406,163,834,294,879
405,164,854,297,898
340,641,650,773,710
29,897,683,1023,742
132,1683,647,1843,705
31,897,647,1023,706
124,1614,647,1773,705
232,1625,632,1795,694
32,897,646,1023,705
266,1321,623,1479,687
471,573,720,692,766
116,1547,646,1707,705
321,808,634,939,696
209,1823,638,1920,699
421,166,713,290,758
407,160,816,291,861
107,1472,646,1627,705
280,1195,619,1348,684
105,1455,646,1609,705
458,433,707,554,753
483,710,700,826,747
455,400,708,521,754
137,1724,646,1886,705
343,620,657,751,714
243,1528,629,1694,692
70,1156,646,1293,705
228,1662,644,1834,706
265,1330,623,1489,688
128,1654,649,1803,704
149,1819,646,1920,705
414,155,720,264,786
322,801,634,931,696
325,774,635,904,697
356,531,681,656,729
374,408,694,522,741
17,893,862,1027,918
202,1882,663,1920,695
339,649,647,782,709
28,896,694,1024,753
419,161,713,284,758
451,358,709,480,755
261,1367,624,1528,688
382,344,696,473,745
311,905,635,1039,698
246,1501,629,1667,692
259,1386,625,1547,689
71,1164,646,1302,705
465,504,735,623,780
3,936,977,973,997
333,700,626,833,706
442,263,711,384,756
134,1705,647,1854,704
284,1157,614,1308,687
460,455,707,575,753
331,718,638,850,699
58,1053,646,1185,705
336,675,633,807,710
287,1130,618,1279,685
212,1798,638,1920,699
450,347,710,467,755
371,421,691,551,740
298,1027,624,1169,688
144,1778,646,1920,705
473,598,703,716,750
422,170,713,293,758
466,514,743,634,789
272,1266,621,1423,686
78,1222,646,1363,705
11,891,926,1029,983
50,984,646,1111,705
45,941,645,1066,705
36,897,646,1023,705
286,1139,617,1290,686
21,894,807,1026,864
217,1756,636,1920,698
269,1294,622,1451,687
