297,970,719,1074,761
339,880,644,1018,701
133,925,790,996,820
79,913,744,1007,784
484,648,647,775,708
148,925,799,994,822
452,374,463,584,573
257,964,763,1050,793
462,488,541,660,627
366,630,551,809,635
399,167,781,481,899
377,542,500,744,594
252,961,767,1045,801
245,958,773,1038,805
15,899,892,1021,938
183,931,811,995,837
277,978,743,1072,781
261,968,759,1053,794
381,506,473,705,581
25,901,769,1019,816
178,930,812,994,837
40,903,688,1017,753
326,932,673,1058,723
488,669,660,790,718
472,575,598,722,670
385,448,522,680,630
453,387,472,592,580
158,927,805,994,831
437,128,260,422,471
318,944,687,1063,735
2,951,975,969,991
439,157,270,435,487
355,710,590,867,668
101,918,765,1002,801
46,904,702,1016,750
144,924,797,995,825
449,328,431,554,552
104,919,768,1001,803
411,0,287,349,526
243,956,775,1036,807
364,647,561,821,640
112,920,774,1000,808
151,925,801,995,824
181,931,811,995,837
287,980,732,1078,771
60,909,722,1011,766
334,921,648,1046,717
69,911,733,1009,775
53,907,712,1013,759
134,927,791,993,821
469,545,636,701,710
195,934,807,1001,831
480,626,631,758,696
238,953,779,1031,810
394,287,694,572,807
456,424,497,617,597
68,912,732,1008,774
497,706,686,818,739
126,921,785,999,816
344,830,631,974,691
166,928,809,992,835
352,740,600,892,676
146,925,798,995,826
230,950,785,1024,815
6,951,974,969,991
433,85,260,412,443
363,653,565,825,643
346,808,624,954,686
417,0,136,339,386
431,68,247,403,434
276,977,744,1071,782
92,916,757,1004,790
420,0,166,353,392
29,902,726,1018,775
231,950,784,1026,811
436,110,270,422,459
395,271,711,556,824
162,927,807,993,829
479,620,628,754,693
392,320,661,597,773
475,596,611,736,680
38,902,688,1018,751
371,598,530,782,618
264,970,756,1057,792
216,944,794,1015,819
234,951,782,1029,813
492,686,672,803,728
361,666,573,835,648
71,911,735,1009,777
16,899,884,1021,931
494,694,678,809,732
20,900,849,1020,897
272,975,748,1066,785
438,145,258,424,480
33,903,694,1017,742
55,908,715,1012,761
353,732,591,879,677
246,958,772,1039,805
32,903,694,1017,742
210,940,798,1009,825
196,934,806,1001,832
445,259,381,512,522
253,963,767,1046,800
384,467,496,690,603
258,965,762,1051,794
30,903,712,1017,762
308,959,723,1068,768
426,26,213,381,414
139,925,794,996,822
58,908,719,1012,764
171,928,810,992,834
241,955,776,1035,808
215,942,795,1014,823
382,503,469,704,576
207,939,800,1008,828
225,948,811,1022,840
463,497,552,667,636
201,937,804,1003,827
474,589,607,730,677
24,901,782,1019,831
444,240,367,500,514
82,914,747,1006,782
26,901,756,1019,805
51,906,710,1014,750
118,921,779,998,808
259,965,761,1052,796
369,612,536,785,626
110,920,773,1000,800
419,0,157,348,389
61,910,723,1010,767
332,923,661,1054,714
121,924,781,997,809
200,937,804,1003,831
489,672,663,793,721
348,786,619,935,682
91,916,756,1004,786
78,914,743,1006,783
194,935,807,999,833
407,22,539,395,689
4,951,975,969,991
478,615,624,750,690
172,929,810,992,841
390,360,621,622,731
188,933,809,996,837
197,935,806,1002,832
256,963,764,1049,798
244,956,774,1038,803
412,0,234,335,499
476,602,615,741,683
311,954,703,1068,749
239,955,778,1033,806
286,981,733,1080,773
3,951,975,969,991
214,942,796,1013,819
357,695,586,856,661
263,969,757,1055,792
152,926,802,994,829
306,960,720,1071,765
498,710,689,819,739
337,899,648,1034,707
329,928,667,1056,719
359,680,580,846,654
153,926,802,993,827
174,928,811,992,837
454,399,480,600,585
14,899,899,1021,946
418,0,146,344,387
13,899,909,1021,955
205,938,801,1007,829
459,459,522,641,614
483,642,643,771,705
283,982,736,1078,777
150,925,801,995,828
66,910,730,1010,772
482,638,639,767,702
403,74,734,429,863
468,535,638,694,713
170,928,810,992,833
335,914,648,1044,713
155,927,803,994,829
84,914,749,1006,788
109,919,772,1001,802
19,901,863,1019,910
107,919,770,1001,801
227,948,801,1022,831
90,916,755,1004,785
12,899,920,1021,966
493,689,675,806,730
114,921,776,999,809
120,922,780,998,813
358,687,583,851,658
379,518,484,731,590
254,962,766,1045,798
351,751,609,905,675
209,941,799,1009,827
242,956,776,1035,804
388,397,585,645,693
292,975,726,1077,767
49,905,707,1013,754
62,909,724,1011,768
266,970,754,1060,790
270,973,750,1064,787
96,917,761,1003,797
34,903,694,1017,742
374,564,513,762,608
406,33,597,403,740
56,907,717,1013,762
190,932,809,998,833
451,359,453,574,567
8,898,967,1022,991
343,841,634,984,693
103,918,767,1002,802
9,898,958,1022,991
186,932,810,995,837
404,59,702,420,835
405,45,656,411,793
28,902,735,1018,784
168,928,810,992,834
387,412,569,656,676
81,915,746,1005,781
159,926,805,994,832
179,930,812,994,837
184,931,811,995,836
376,558,503,746,600
447,295,408,535,538
309,956,719,1069,764
100,919,764,1001,800
208,939,800,1008,825
156,926,804,994,831
330,926,665,1055,718
22,900,813,1020,861
87,915,752,1005,789
206,939,801,1008,826
324,935,676,1059,727
18,899,873,1021,920
310,955,711,1068,757
247,959,772,1040,801
383,486,470,699,575
192,933,808,999,834
7,900,971,1020,992
290,978,728,1078,768
218,944,793,1016,822
77,913,742,1007,782
372,584,526,778,613
338,890,646,1026,704
470,554,629,707,702
228,949,792,1023,821
74,912,739,1008,779
